text,label
Jag kontaktade tekniska supporten och ställde en fråga.,neutral
Bra att ni lyssnade på min feedback.,positiv
Finns det någon manual för den här funktionen?,neutral
Jag är mycket besviken på hur ni hanterat mitt ärende.,negativ
Jag ringde supporten och skickade dokument.,neutral
Jag mailade tekniska supporten och fick vänta länge.,negativ
Jag chattade kundservice och löste problemet.,positiv
Jag nådde kundtjänst och skickade dokument.,neutral
Jag är inte nöjd alls.,negativ
Jag har stått still i över en timme i telefonkö!,negativ
Ni lovade återkoppling inom 24 timmar – det har gått en vecka.,negativ
Jag chattade kundtjänst och skickade dokument.,neutral
Tack för att ni följde upp mitt ärende.,positiv
Jag kontaktade tekniska supporten och blev runtkopplad.,negativ
Jag ringde kundservice och lovades hjälp men inget hände.,negativ
"Jag undrar om ni möjligen, det var enkelt att komma fram och få service.",positiv
Jag ringde tekniska supporten och skickade dokument.,neutral
Jag mailade kundservice och skickade dokument.,neutral
Detta är sämsta servicen jag någonsin fått.,negativ
Jag chattade tekniska supporten och bad om återkoppling.,neutral
Jag har inte hunnit testa lösningen ännu.,neutral
Jag chattade kundservice och fick information.,neutral
Tack för snabb hjälp med mitt ärende!,positiv
Tack så mycket för snabb hjälp med mitt ärende!,positiv
Jag kontaktade kundservice och löste problemet.,positiv
Jag ringde kundservice och lovades hjälp men inget hände.,negativ
Jag chattade er avdelning och blev runtkopplad.,negativ
Jag chattade tekniska supporten och skickade dokument.,neutral
Jag avvaktar och ser hur det går.,neutral
Tack för att ni följde upp mitt ärende.,positiv
Jag noterar vad ni sagt.,neutral
Återkommer om det behövs.,neutral
Jag avvaktar och ser hur det går.,neutral
Jag avvaktar och ser hur det går.,neutral
Tack för att ni följde upp mitt ärende.,positiv
Jag nådde kundservice och allt ordnade sig.,positiv
Ni lovade återkoppling inom 24 timmar – det har gått en vecka. Det är under all kritik.,negativ
Jag ringde tekniska supporten och blev runtkopplad.,negativ
Jag kommer inte acceptera detta.,negativ
Jag chattade er avdelning och lovades hjälp men inget hände.,negativ
Ingen har hört av sig trots att ni lovade.,negativ
Uppskattar att ni ringde tillbaka.,positiv
Uppskattar att ni ringde tillbaka.,positiv
Återkommer om det behövs.,neutral
Jag nådde er avdelning och allt ordnade sig.,positiv
Tack för informationen.,neutral
Jag mailade tekniska supporten och blev runtkopplad.,negativ
Jag avvaktar och ser hur det går.,neutral
Jag mailade supporten och blev hjälpt.,positiv
Tack för att ni följde upp mitt ärende.,positiv
Jag nådde er avdelning och fick information.,neutral
Jag noterar vad ni sagt.,neutral
Jag kontaktade kundservice och fick svar direkt.,positiv
Ni har inte löst någonting.,negativ
